EIN,FormYr,FormType,Name,State,MajorGroup,NTEE,NTEE.CC,UNIV,HOSP,TotalExpense,TotalEmployee,GrossReceipts,TotalAssests,CEOCompensation,Gender,TransitionYr,TRANS.D,ZIP5,LocationType,FIPS
631180935,2018,990,GREATER ETOWAH MR 310 BOARD INC,AL,4,G,G20,FALSE,FALSE,3832720,31,3813332,7079670,109675.8,M,FALSE,TRUE,35902,Metropolitan,01055
630788619,2012,990,SOUTHEAST AL YOUTH SERVICES INC,AL,5,P,P73,FALSE,FALSE,3359718,79,3375290,2094964,88058.92000000001,M,FALSE,TRUE,36303,Metropolitan,01069
630760576,2018,990,NORTHEAST ALABAMA HEALTH SERVICES INC,AL,4,E,E32,FALSE,FALSE,5174937,60,5811301,6686441,163804.11000000002,F,FALSE,TRUE,35768,Metropolitan,01071
630887875,2019,990,MAGIC MOMENTS INC,AL,4,E,E86,FALSE,FALSE,868164,7,1519095,799199,103660.09000000001,F,FALSE,TRUE,35205,Metropolitan,01073
630375738,2018,990,THE ARC OF CENTRAL ALABAMA INC,AL,5,P,P82,FALSE,FALSE,26525568,872,26547506,15209000,291216.39,M,FALSE,TRUE,35212,Metropolitan,01073
581885414,2016,990,HARC III HOUSING INC,AL,5,L,L21,FALSE,FALSE,191887,0,199146,297864,243563.77000000002,M,FALSE,TRUE,35212,Metropolitan,01073
630809785,2019,990,ALABAMA GOLF ASSOCIATION INC,AL,5,N,N6A,FALSE,FALSE,968828,9,1285267,1429124,137770.55000000002,M,FALSE,TRUE,35216,Metropolitan,01073
630299894,2019,990,THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF,AL,5,P,P27,FALSE,FALSE,29328335,1886,30710895,56558338,300020.32,M,FALSE,TRUE,35203,Metropolitan,01073
630340866,2018,990,JUNIOR ACHIEVEMENT OF ALABAMA INC,AL,5,O,O53,FALSE,FALSE,889676,11,1197645,435792,175460.57,M,FALSE,TRUE,35209,Metropolitan,01073
630514348,2018,990,A G GASTON BOYS & GIRLS CLUB INC,AL,5,O,O23,FALSE,FALSE,2532438,99,3334139,13180733,123232.13,M,FALSE,TRUE,35211,Metropolitan,01073
630288868,2015,990,SOUTHERN RESEARCH INSTITUTE,AL,7,U,U40,FALSE,FALSE,84126126,567,71323409,144792189,407068.13,M,FALSE,TRUE,35205,Metropolitan,01073
260872042,2019,990,CHANGED LIVES CHRISTIAN CENTER INC,AL,8,X,X20,FALSE,FALSE,501338,8,523627,2028100,103417.02,M,FALSE,TRUE,35204,Metropolitan,01073
630754793,2019,990,UAB MEDICAL WEST CONTINGENT LIABILITY,AL,4,E,E1920,FALSE,FALSE,0,0,2585,576527,847391.0700000001,M,FALSE,TRUE,35022,Metropolitan,01073
582210003,2019,990,UNITED METHODIST VOLUNTEERS IN MISS,AL,8,X,X21,FALSE,FALSE,205748,2,219498,116827,82702.66,M,FALSE,TRUE,35201,Metropolitan,01073
630952490,2017,990,AMERICAN SPORTS MEDICINE INSTITUTE,AL,4,G,G90,FALSE,FALSE,2661646,17,3302072,38661,279729.97000000003,U,FALSE,TRUE,35205,Metropolitan,01073
630505899,2018,990,JEFFERSON COUNTY COMMITTEE FOR ECONOMIC,AL,5,P,P20,FALSE,FALSE,28236573,914,27433462,11193335,157593.29,U,FALSE,TRUE,35204,Metropolitan,01073
630948472,2015,990,CORNERSTONE SCHOOLS OF ALABAMA INC,AL,5,P,P28,FALSE,FALSE,4467399,115,5003153,7727026,173389.57,F,FALSE,TRUE,35212,Metropolitan,01073
630288854,2018,990,GATEWAY,AL,5,P,P20,FALSE,FALSE,8304071,184,8403443,35067699,257449.28000000003,F,FALSE,TRUE,35205,Metropolitan,01073
260508897,2018,990,TRIUMPH SERVICES INC,AL,5,P,P80,FALSE,FALSE,1257745,22,1311473,319114,82840,F,FALSE,TRUE,35205,Metropolitan,01073
630288848,2017,990,LEVITE JEWISH COMMUNITY CENTER,AL,5,P,P84,FALSE,FALSE,7432474,322,7179886,2442686,136905.09,U,FALSE,TRUE,35213,Metropolitan,01073
630288811,2018,990,BIRMINGHAM-SOUTHERN COLLEGE,AL,2,B,B42,TRUE,FALSE,54546677,865,58368744,159285516,45583.8,M,FALSE,TRUE,35254,Metropolitan,01073
630806841,2016,990,HOUSING AGENCY FOR RETARDED CITIZENS,AL,5,P,P82,FALSE,FALSE,276313,0,309004,365539,243563.77000000002,M,FALSE,TRUE,35212,Metropolitan,01073
630288810,2018,990,THE GREATER BIRMINGHAM HUMANE,AL,3,D,D20,FALSE,FALSE,4656397,103,5609357,14854870,141727.25,F,FALSE,TRUE,35209,Metropolitan,01073
630893496,2018,990,ALABAMA HEAD INJURY FOUNDATION INC,AL,4,G,G48,FALSE,FALSE,975877,13,1046251,472074,130734.6,M,FALSE,TRUE,35216,Metropolitan,01073
721387424,2018,990,FRESHWATER LAND TRUST,AL,3,C,C32,FALSE,FALSE,982528,6,1054358,40736461,66836.62000000001,U,FALSE,TRUE,35203,Metropolitan,01073
630907544,2019,990,SMILE-A-MILE,AL,4,E,E86,FALSE,FALSE,1579049,9,2116324,7140759,164530.05000000002,M,FALSE,TRUE,35233,Metropolitan,01073
630495111,2019,990,THE BIRMINGHAM BOTANICAL SOCIETY INC,AL,3,C,C1140,FALSE,FALSE,2330305,23,3416659,20372156,206478.7,M,FALSE,TRUE,35223,Metropolitan,01073
630288811,2018,990,BIRMINGHAM-SOUTHERN COLLEGE,AL,2,B,B42,TRUE,FALSE,54546677,865,58368744,159285516,228752.85,F,FALSE,TRUE,35254,Metropolitan,01073
630649108,2018,990,UNIVERSITY OF ALABAMA HEALTH SERVICES,AL,4,E,E31,FALSE,FALSE,731100260,3992,788829408,887835290,1202259.1,M,FALSE,TRUE,35233,Metropolitan,01073
630975262,2016,990,HOUSING AGENCY FOR RETARDED,AL,5,P,P73,FALSE,FALSE,262764,0,800236,6289376,243563.77000000002,M,FALSE,TRUE,35212,Metropolitan,01073
260411498,2019,990,MATTIE C STEWART FOUNDATION,AL,2,B,B90,FALSE,FALSE,329281,0,349332,199822,106882.13,F,FALSE,TRUE,35203,Metropolitan,01073
630459034,2018,990,THE EYE FOUNDATION INC,AL,4,E,E24,FALSE,TRUE,0,0,26744,104910,433457.03,M,FALSE,TRUE,35233,Metropolitan,01073
630955721,2016,990,COMMUNITY OPTIONS INC,AL,5,P,P80,FALSE,FALSE,136586,0,97615,595497,243563.77000000002,M,FALSE,TRUE,35212,Metropolitan,01073
631070727,2016,990,FOUNDATION OF THE ARC,AL,5,L,L99,FALSE,FALSE,734349,0,684479,4278560,243563.77000000002,M,FALSE,TRUE,35212,Metropolitan,01073
630753358,2019,990,RONALD MCDONALD HOUSE CHARITIES OF,AL,4,E,E86,FALSE,FALSE,2939822,32,6364745,19736879,144563.43000000002,F,FALSE,TRUE,35233,Metropolitan,01073
636050895,2018,990,ALABAMA EDUCATION TELEVISION FOUNDATION,AL,1,A,A1132,FALSE,FALSE,4599969,60,5030288,8499877,232247.39,M,FALSE,TRUE,35205,Metropolitan,01073
630917530,2019,990,INNOVATION DEPOT INC,AL,7,S,S43,FALSE,FALSE,3112895,8,3144705,15861384,33288.600000000006,M,FALSE,TRUE,35203,Metropolitan,01073
631253854,2019,990,TRINITY COUNSELING INC,AL,4,F,F60,FALSE,FALSE,744775,6,781585,391187,165633.13,M,FALSE,TRUE,35216,Metropolitan,01073
630980210,2018,990,UNITED COUNSELING,AL,5,P,P46,FALSE,FALSE,155862,2,145065,145820,86510.03000000001,F,FALSE,TRUE,35213,Metropolitan,01073
630726127,2019,990,PRESBYTERIAN RETIREMENT HOMES OF,AL,5,L,L22,FALSE,FALSE,10746008,253,11693212,11008017,178967.1,M,FALSE,TRUE,35210,Metropolitan,01073
311639601,2017,990,M-POWER MINISTRIES,AL,5,P,P20,FALSE,FALSE,686365,19,736073,384192,108699.16,M,FALSE,TRUE,35222,Metropolitan,01073
201560119,2018,990,CHARITABLE REAL ESTATE FOUNDATION,AL,7,S,S12,FALSE,FALSE,7419,0,6710,517889,46267.23,F,FALSE,TRUE,35203,Metropolitan,01073
631053191,2018,990,CRAMER CHILDRENS CENTER INC,AL,5,P,P70,FALSE,FALSE,764724,12,801246,338638,68810.61,F,FALSE,TRUE,35631,Metropolitan,01077
630830280,2018,990,HOSPICE OF THE SHOALS INC,AL,5,P,P74,FALSE,FALSE,537605,0,427786,174560,42732.36,F,FALSE,TRUE,35630,Metropolitan,01077
630288852,2012,990,CHATTAHOOCHEE VALLEY HOSPITAL,AL,4,E,E20,FALSE,TRUE,43065188,717,40548572,33655439,350508.03,M,FALSE,TRUE,36801,Metropolitan,01081
630439459,2018,990,AUBURN ALUMNI ASSOCIATION,AL,2,B,B84,FALSE,FALSE,3289772,77,3507532,15939724,242937.02000000002,F,FALSE,TRUE,36849,Metropolitan,01081
636054092,2018,990,MACON-RUSSELL COMMUNITY ACTION AGENCY INC,AL,7,S,S21,FALSE,FALSE,1509024,12,1543622,265938,67004.48000000001,F,FALSE,TRUE,36083,Metropolitan,01087
630720189,2018,990,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,2,B,B8443,FALSE,FALSE,96261,0,469,0,102579.90000000001,F,FALSE,TRUE,35899,Metropolitan,01089
582058795,2019,990,YOUNG MEN'S CHRISTIAN ASSOCIATION,AL,5,P,P27,FALSE,FALSE,10445767,871,10389489,21255320,203979.33000000002,M,FALSE,TRUE,35801,Metropolitan,01089
630644957,2018,990,MUSEUM BOARD OF THE CITY OF HUNTSVILLE,AL,1,A,A51,FALSE,FALSE,2649934,82,2675123,492024,203056.1,M,FALSE,TRUE,35801,Metropolitan,01089
237352886,2018,990,THE VALLEY FOUNDATION,AL,2,B,B1140,FALSE,FALSE,9135028,39,9713196,13299781,704921.53,M,FALSE,TRUE,35801,Metropolitan,01089
270085899,2016,990,ABILITY PLUS INC,AL,5,P,P73,FALSE,FALSE,14138307,915,15509716,7194696,139581.04,U,FALSE,TRUE,35824,Metropolitan,01089
630356666,2018,990,MADISON ACADEMY INC,AL,2,B,B20,FALSE,FALSE,8382138,173,8442188,15080197,145605.47,M,FALSE,TRUE,35758,Metropolitan,01089
630820386,2017,990,HOSPICE FAMILY CARE INC,AL,5,P,P74,FALSE,FALSE,372218,48,304560,0,8930.37,F,FALSE,TRUE,35805,Metropolitan,01089
630518148,2019,990,MOBILE COMMUNITY ACTION INC,AL,5,P,P60,FALSE,FALSE,19396841,321,19442850,3951566,163431.33000000002,U,FALSE,TRUE,36617,Metropolitan,01097
630501382,2018,990,SOUTH ALABAMA REGIONAL PLANNING,AL,7,S,S20,FALSE,FALSE,17832499,663,18595796,8083035,153673.65000000002,M,FALSE,TRUE,36633,Metropolitan,01097
630917400,2018,990,CHILD ADVOCACY CENTER INC,AL,5,I,I72,FALSE,FALSE,765535,6,855539,3714129,96540.21,M,FALSE,TRUE,36604,Metropolitan,01097
630779657,2018,990,MARINE ENVIRONMENTAL SCIENCES CONSORTIUM,AL,7,U,U21,FALSE,FALSE,16057170,154,16842306,19542404,233306.87000000002,M,FALSE,TRUE,36528,Metropolitan,01097
630753361,2019,990,MOBILE AREA CHAMBER OF COMMERCE,AL,7,S,S41,FALSE,FALSE,1512142,0,3504549,9452951,329440.51,M,FALSE,TRUE,36652,Metropolitan,01097
630937704,2015,990,SETON MEDICAL MANAGEMENT INC,AL,4,E,E21,FALSE,TRUE,11844725,172,11554678,17753824,2630337.8600000003,U,FALSE,TRUE,36608,Metropolitan,01097
630421430,2018,990,GIRL SCOUTS OF SOUTHERN ALABAMA,AL,5,O,O42,FALSE,FALSE,2314640,67,3696706,5757283,107899.1,F,FALSE,TRUE,36608,Metropolitan,01097
630695166,2018,990,THE COMMUNITY FOUNDATION OF SOUTH,AL,7,T,T31,FALSE,FALSE,5190327,7,8345878,80061394,167542.81000000003,F,FALSE,TRUE,36601,Metropolitan,01097
262638504,2018,990,SOUTHWEST ALABAMA WORKFORCE,AL,5,J,J22,FALSE,FALSE,607761,6,564864,689020,138186.93000000002,M,FALSE,TRUE,36615,Metropolitan,01097
636054097,2018,990,MONTGOMERY COMMUNITY ACTION COMMITTEE &,AL,5,P,P20,FALSE,FALSE,15066342,298,15169609,4172480,167800.05000000002,M,FALSE,TRUE,36104,Metropolitan,01101
630329409,2019,990,FAULKNER UNIVERSITY,AL,2,B,B43,TRUE,FALSE,56444383,1021,57616396,90552154,327343.35000000003,M,FALSE,TRUE,36109,Metropolitan,01101
630834450,2019,990,STELLA'S VOICE,AL,8,X,X20,FALSE,FALSE,380600,4,385787,335079,83521.25,M,FALSE,TRUE,36124,Metropolitan,01101
630656140,2018,990,COUNCIL ON SUBSTANCE ABUSE - NCADD,AL,4,F,F99,FALSE,FALSE,2084188,43,2121845,787114,82344.05,U,FALSE,TRUE,36106,Metropolitan,01101
630959628,2015,990,MONTGOMERY AIDS OUTREACH INC,AL,4,G,G81,FALSE,FALSE,12058568,69,13909558,4005153,88044.75,M,FALSE,TRUE,36111,Metropolitan,01101
630302145,2019,990,UNITED METHODIST CHILDREN'S HOME,AL,5,P,P70,FALSE,FALSE,7229047,105,44923735,42004878,196161.85,M,FALSE,TRUE,36106,Metropolitan,01101
630842355,2019,990,CENTRAL ALABAMA COMMUNITY FOUNDATION,AL,7,T,T31,FALSE,FALSE,6285082,6,19613187,75517755,101940.07,M,FALSE,TRUE,36104,Metropolitan,01101
630778800,2016,990,CHEMICAL ADDICTIONS PROGRAM INC,AL,7,U,U33,FALSE,FALSE,2425184,70,2188787,842493,92508.3,M,FALSE,TRUE,36108,Metropolitan,01101
630568762,2019,990,HEALTH SERVICES INC,AL,4,E,E30,FALSE,FALSE,27892024,369,29301498,31740331,267257.10000000003,M,FALSE,TRUE,36107,Metropolitan,01101
630907890,2018,990,THE ALABAMA COALITION AGAINST,AL,5,P,P01,FALSE,FALSE,1698386,7,1679858,609373,92421.1,M,FALSE,TRUE,36106,Metropolitan,01101
636001820,2019,990,JACKSON HOSPITAL AND CLINIC INC,AL,4,E,E22,FALSE,TRUE,271231216,2593,273954254,219375599,721583.27,M,FALSE,TRUE,36106,Metropolitan,01101
300092712,2018,990,MONTGOMERY AREA COMMUNITY,AL,7,S,S21,FALSE,FALSE,1121707,14,1062279,497925,74053.51000000001,F,FALSE,TRUE,36108,Metropolitan,01101
630877006,2019,990,HOSPICE OF THE VALLEY INC,AL,5,P,P74,FALSE,FALSE,3982787,77,4174214,2237176,109832.76000000001,F,FALSE,TRUE,35601,Metropolitan,01103
630358762,2018,990,UNITED WAY OF MORGAN COUNTY,AL,7,T,T70,FALSE,FALSE,1719848,5,1500596,1967127,85693.62000000001,F,FALSE,TRUE,35602,Metropolitan,01103
630514875,2019,990,THE COMMUNITY ACTION PARTNERSHIP OF,AL,7,T,T70,FALSE,FALSE,41278370,762,42653974,72349277,168727.64,M,FALSE,TRUE,35601,Metropolitan,01103
630844906,2019,990,FAMILY CONNECTION INC,AL,4,F,F33,FALSE,FALSE,1066607,22,1037446,1465348,84781.29000000001,F,FALSE,TRUE,35007,Metropolitan,01117
237271062,2018,990,ALABAMA TEEN CHALLENGE INC,AL,8,X,X99,FALSE,FALSE,2008598,60,2095122,1184275,46425.280000000006,M,FALSE,TRUE,35096,Metropolitan,01121
630307953,2018,990,PRESBYTERIAN HOME FOR CHILDREN,AL,8,X,X20,FALSE,FALSE,2819348,78,8387017,15004036,132068.76,M,FALSE,TRUE,35161,Metropolitan,01121
630519483,2018,990,WEST ALABAMA REGIONAL COMMISSION,AL,7,S,S32,FALSE,FALSE,10809669,133,11033120,4855549,119345.19,M,FALSE,TRUE,35476,Metropolitan,01125
630803491,2017,990,THE UNIVERSITY FOUNDATION,AL,2,B,B11,FALSE,FALSE,347918,0,1029747,1527752,1098074.72,M,FALSE,TRUE,35401,Metropolitan,01125
630949219,2018,990,HABITAT FOR HUMANITY TUSCALOOSA,AL,5,L,L20,FALSE,FALSE,1967988,18,1794896,3358274,96541.3,F,FALSE,TRUE,35401,Metropolitan,01125
630810661,2018,990,CAPSTONE HEALTH SERVICES FOUNDATION PC,AL,4,E,E1170,FALSE,FALSE,22587372,92,23764035,24171653,379563.07,F,FALSE,TRUE,35401,Metropolitan,01125
631276483,2018,990,CAPSTONE RURAL HEALTH CENTER,AL,4,E,E30,FALSE,FALSE,4287747,59,5912866,4883858,191279.74000000002,M,FALSE,TRUE,35580,Metropolitan,01127
920164510,2018,990,FOR THE KIDS FOUNDATION INC,AK,7,T,T12,FALSE,FALSE,598252,22,2936511,371356,10550.11,F,FALSE,TRUE,99503,Metropolitan,02020
161616595,2018,990,ALASKA PUBLIC BROADCASTING,AK,1,A,A30,FALSE,FALSE,1399346,4,1454872,903001,142454.28,F,FALSE,TRUE,99520,Metropolitan,02020
943131778,2018,990,FOUNDATION OF THE ARC OF ANCHORAGE,AK,5,P,P82,FALSE,FALSE,1187612,0,180361,6292744,165006.38,F,FALSE,TRUE,99508,Metropolitan,02020
920170234,2019,990,ALASKA SAFETY ALLIANCE,AK,2,B,B41,TRUE,FALSE,1181426,10,1259279,590205,147182.7,U,FALSE,TRUE,99503,Metropolitan,02020
920155014,2018,990,THE GREAT LAND TRUST INC,AK,3,C,C34,FALSE,FALSE,1192231,8,1991965,11694243,146199.52000000002,F,FALSE,TRUE,99510,Metropolitan,02020
920150193,2016,990,ALASKA PACIFIC UNIVERSITY FOUNDATION,AK,2,B,B1140,FALSE,FALSE,1838058,0,8574201,14095331,285901.55000000005,M,FALSE,TRUE,99508,Metropolitan,02020
770621661,2018,990,ALASKA BRAIN INJURY NETWORK INC,AK,4,G,G48,FALSE,FALSE,671736,3,683990,228042,77659.23000000001,F,FALSE,TRUE,99503,Metropolitan,02020
920149995,2018,990,STONE SOUP GROUP,AK,7,S,S50,FALSE,FALSE,1353833,25,1394237,479522,96290.6,F,FALSE,TRUE,99503,Metropolitan,02020
911786519,2018,990,ALASKA WORKS PARTNERSHIP INC,AK,7,S,S50,FALSE,FALSE,1991584,16,2214096,913089,193925.17,F,FALSE,TRUE,99508,Metropolitan,02020
920177787,2018,990,THE FORAKER GROUP,AK,7,S,S50,FALSE,FALSE,6426646,23,6601829,4220056,325999.38,F,FALSE,TRUE,99508,Metropolitan,02020
731665266,2018,990,ADP COMMUNITY SERVICES,AK,5,P,P20,FALSE,FALSE,136514,0,196004,332312,113712.07,F,FALSE,TRUE,99501,Metropolitan,02020
920028571,2018,990,THE ARC OF ANCHORAGE,AK,5,P,P82,FALSE,FALSE,14163889,400,12385232,11824320,165006.38,F,FALSE,TRUE,99508,Metropolitan,02020
237113202,2018,990,AMERICAN CIVIL LIBERTIES UNION,AK,7,R,R60,FALSE,FALSE,778025,11,1399036,971835,157954.08000000002,M,FALSE,TRUE,99503,Metropolitan,02020
510152394,2019,990,ANCHORAGE COMMUNITY MENTAL HEALTH,AK,4,F,F32,FALSE,FALSE,19247167,222,20472335,15238434,321966.38,M,FALSE,TRUE,99508,Metropolitan,02020
920038588,2018,990,ALASKA CHILDREN'S SERVICES INC,AK,4,F,F33,FALSE,FALSE,12049403,256,11537487,9961151,176045.90000000002,F,FALSE,TRUE,99507,Metropolitan,02020
920056272,2018,990,ALASKA NATIVE HEALTH BOARD,AK,4,E,E0322,FALSE,FALSE,910078,6,868233,815643,221710.36000000002,M,FALSE,TRUE,99508,Metropolitan,02020
920129264,2018,990,GENESIS RECOVERY SERVICES INC,AK,4,F,F22,FALSE,FALSE,1019441,20,676860,576413,96042.08,U,FALSE,TRUE,99517,Metropolitan,02020
800064172,2018,990,BIG BROTHERS BIG SISTERS OF ALASKA,AK,5,O,O31,FALSE,FALSE,1309002,29,1453133,375521,124323.22000000002,F,FALSE,TRUE,99503,Metropolitan,02020
920047965,2018,990,ANCHORAGE NEIGHBORHOOD HEALTH CENTER,AK,4,E,E32,FALSE,FALSE,18159641,189,19766821,34561335,249937.00000000003,F,FALSE,TRUE,99503,Metropolitan,02020
920117008,2018,990,SPECIAL EDUCATION SERVICE AGENCY,AK,2,B,B28,FALSE,FALSE,3549339,25,3487701,2539917,205542.39,M,FALSE,TRUE,99503,Metropolitan,02020
920140434,2018,990,HABITAT FOR HUMANITY - ANCHORAGE,AK,5,L,L1920,FALSE,FALSE,1928854,16,2260075,5681665,100075.08,F,FALSE,TRUE,99508,Metropolitan,02020
270502649,2018,990,COOK INLET NATIVE HEAD START,AK,2,B,B21,FALSE,FALSE,3265451,65,4107458,1690946,151664.78,M,FALSE,TRUE,99507,Metropolitan,02020
920145727,2018,990,ALASKA NATIVE JUSTICE CENTER,AK,5,P,P84,FALSE,FALSE,2257954,22,2258553,482358,682983.1000000001,F,FALSE,TRUE,99508,Metropolitan,02020
926002175,2018,990,BLOOD BANK OF ALASKA INC,AK,4,E,E61,FALSE,FALSE,13036362,123,11665484,44677209,358562.04000000004,M,FALSE,TRUE,99508,Metropolitan,02020
920071466,2018,990,STANDING TOGETHER AGAINST RAPE,AK,4,F,F42,FALSE,FALSE,1688208,36,1657323,2001620,111415.44,F,FALSE,TRUE,99503,Metropolitan,02020
920061466,2019,990,ALASKA CONSERVATION FOUNDATION,AK,3,C,C30,FALSE,FALSE,2425763,13,7841012,13045403,134571.40000000002,M,FALSE,TRUE,99501,Metropolitan,02020
920133631,2018,990,REGIONAL CITIZENS ADVISORY COUNCIL,AK,3,C,C0220,FALSE,FALSE,3783770,19,3835198,1747111,229659.73,F,FALSE,TRUE,99503,Metropolitan,02020
920121621,2018,990,FAMILY OUTREACH CENTER FOR,AK,2,B,B28,FALSE,FALSE,4918823,171,4741109,3503641,120495.14000000001,F,FALSE,TRUE,99577,Metropolitan,02020
920127531,2017,990,ALASKA NATIVE HERITAGE CENTER INC,AK,1,A,A23,FALSE,FALSE,4333249,88,3716210,18404502,175481.28,F,FALSE,TRUE,99504,Metropolitan,02020
920174854,2019,990,FIRST ALASKANS INSTITUTE,AK,7,S,S20,FALSE,FALSE,2610562,36,2971933,1110515,167937.39,F,FALSE,TRUE,99501,Metropolitan,02020
920073013,2018,990,ALEUTIAN PRIBILOF ISLANDS,AK,7,S,S20,FALSE,FALSE,18359682,188,23791426,32329117,528936.67,U,FALSE,TRUE,99518,Metropolitan,02020
920077825,2018,990,ALASKA BUSINESS DEVELOPMENT CENTER,AK,7,S,S43,FALSE,FALSE,572495,16,585485,451735,104984.44,F,FALSE,TRUE,99501,Metropolitan,02020
920073175,2016,990,FOOD BANK OF ALASKA INC,AK,5,K,K31,FALSE,FALSE,16895629,37,17069310,5294730,38371.270000000004,M,FALSE,TRUE,99501,Metropolitan,02020
920033876,2018,990,RURAL ALASKA COMMUNITY ACTION PROGRAM,AK,7,S,S20,FALSE,FALSE,27137577,620,25369004,38108502,263116.19,M,FALSE,TRUE,99501,Metropolitan,02020
920110889,2018,990,VICTIMS FOR JUSTICE,AK,5,P,P62,FALSE,FALSE,512336,5,544066,173554,85712.15000000001,F,FALSE,TRUE,99503,Metropolitan,02020
920046154,2018,990,AKEELA INC,AK,4,F,F20,FALSE,FALSE,9710331,195,10981227,10283431,126698.33000000002,F,FALSE,TRUE,99503,Metropolitan,02020
926010379,2018,990,TRUSTEES FOR ALASKA,AK,3,C,C0130,FALSE,FALSE,1540118,17,1529530,516275,129618.44,F,FALSE,TRUE,99501,Metropolitan,02020
920042123,2018,990,ALASKA HUMANITIES FORUM,AK,1,A,A267,FALSE,FALSE,3115634,36,2796330,1488710,187873.49000000002,U,FALSE,TRUE,99501,Metropolitan,02020
920088380,2018,990,SAFE AND FEAR-FREE ENVIRONMENT INC,AK,7,S,S20,FALSE,FALSE,1307222,46,1446474,2314730,84920.81000000001,F,FALSE,TRUE,99576,Rural,02070
237438038,2019,990,NORTHERN ALASKA ENVIRONMENTAL,AK,3,C,C60,FALSE,FALSE,541489,11,679851,1841542,87445.25,F,FALSE,TRUE,99701,Metropolitan,02090
926003642,2018,990,UNITED WAY OF THE TANANA VALLEY INC,AK,7,T,T70,FALSE,FALSE,892690,5,937706,696451,94723.18000000001,M,FALSE,TRUE,99707,Metropolitan,02090
920156280,2012,990,VOLUNTEERS IN POLICING,AK,5,I,I20,FALSE,FALSE,88371,1,62294,34167,36258.850000000006,F,FALSE,TRUE,99701,Metropolitan,02090
920082689,2018,990,FESTIVAL FAIRBANKS INC,AK,7,S,S99,FALSE,FALSE,145541,9,2133232,61884,70602.57,F,FALSE,TRUE,99701,Metropolitan,02090
920138519,2019,990,FAIRBANKS NEIGHBORHOOD HOUSING SERVICES,AK,5,L,L20,FALSE,FALSE,1013387,11,1160904,6357297,98798.69,F,FALSE,TRUE,99701,Metropolitan,02090
263528160,2018,990,FAIRBANKS PIPELINE TRAINING CENTER TRUST,AK,5,N,N52,FALSE,FALSE,2243308,9,1926721,23185682,164570.38,M,FALSE,TRUE,99707,Metropolitan,02090
920040308,2018,990,TANANA CHIEFS CONFERENCE,AK,5,P,P84,FALSE,FALSE,196439827,1113,320599591,250149170,509556.47000000003,M,FALSE,TRUE,99701,Metropolitan,02090
201113317,2018,990,MORRIS THOMPSON CULTURAL & VISITORS,AK,7,S,S30,FALSE,FALSE,1584371,0,938565,18284761,117376.65000000001,F,FALSE,TRUE,99701,Metropolitan,02090
920063469,2016,990,ADULT LEARNING PROGRAMS OF ALASKA INC,AK,2,B,B60,FALSE,FALSE,2342449,174,2168739,287244,100597.19,M,FALSE,TRUE,99708,Metropolitan,02090
920042651,2018,990,CATHOLIC COMMUNITY SERVICE INC,AK,5,P,P20,FALSE,FALSE,7303109,195,7601115,2240845,142663.56,F,FALSE,TRUE,99801,Metropolitan,02110
