EIN,m1,m2,m3,m4,m5
800064172,R,5,O,O3,O31
920047965,R,4,E,E3,E32
920117008,R,2,B,B2,B28
920140434,S,5,L,L2,L20
270502649,R,2,B,B2,B21
920145727,R,5,P,P8,P84
926002175,R,4,E,E6,E61
920071466,R,4,F,F4,F42
920061466,R,3,C,C3,C30
920133631,S,3,C,C2,C20
920121621,R,2,B,B2,B28
920127531,R,1,A,A2,A23
920174854,R,7,S,S2,S20
920073013,R,7,S,S2,S20
920077825,R,7,S,S4,S43
920073175,R,5,K,K3,K31
920033876,R,7,S,S2,S20
920110889,R,5,P,P6,P62
920046154,R,4,F,F2,F20
926010379,S,3,C,C3,C30
920042123,R,1,A,A2,A26
920088380,R,7,S,S2,S20
237438038,R,3,C,C6,C60
926003642,R,7,T,T7,T70
920156280,R,5,I,I2,I20
920082689,R,7,S,S9,S99
920138519,R,5,L,L2,L20
263528160,R,5,N,N5,N52
920040308,R,5,P,P8,P84
201113317,R,7,S,S3,S30
920063469,R,2,B,B6,B60
920042651,R,5,P,P2,P20
522395867,R,7,T,T3,T31
920070127,R,5,P,P8,P80
920057621,R,3,D,D2,D20
300090258,R,4,F,F3,F30
920045230,R,4,F,F2,F21
920056274,R,12,E,E2,E21
920070127,R,5,P,P8,P80
920038549,R,4,F,F3,F30
920172389,R,8,X,X2,X20
920114675,R,5,P,P8,P82
911829284,R,3,C,C3,C32
920156450,R,3,C,C2,C20
300212786,R,2,B,B2,B25
920072562,R,4,F,F8,F80
651225184,S,4,E,E0,E11
920146203,S,4,E,E0,E11
911817911,R,4,F,F3,F32
920082770,R,5,P,P8,P81
920078503,R,5,P,P8,P81
920047009,S,7,T,T0,T12
920041461,R,5,P,P8,P84
920129853,R,5,O,O4,O40
920068881,S,3,D,D3,D30
237314364,R,12,E,E2,E22
860207220,R,5,I,I8,I80
860208451,R,12,E,E2,E22
866007695,R,12,E,E2,E22
860186105,R,5,J,J3,J30
860325741,R,4,F,F3,F32
860663432,R,4,E,E3,E32
860826280,R,7,W,W7,W70
860838347,R,5,I,I7,I71
860555102,R,2,B,B8,B80
860555102,R,2,B,B8,B80
866037149,S,4,F,F0,F03
262395228,R,3,D,D2,D20
860255127,R,5,P,P7,P73
237094247,R,12,E,E2,E22
860953423,R,4,G,G5,G50
680260052,R,1,A,A3,A33
860096941,R,5,P,P7,P75
237181500,S,4,G,G9,G90
860618301,R,8,X,X3,X30
860265218,R,5,P,P7,P75
860265218,R,5,P,P7,P75
860946968,R,5,N,N6,N68
860096792,R,5,P,P4,P46
860096781,R,5,P,P3,P30
453910992,R,7,S,S2,S22
860975231,S,4,E,E7,E70
860254820,R,5,P,P2,P28
860649306,S,5,P,P0,P11
860626273,R,5,P,P8,P80
860227210,R,5,P,P2,P20
860622258,R,5,P,P2,P28
860269193,R,2,B,B2,B20
952577300,S,2,B,B4,B40
311496646,R,2,B,B7,B70
860293585,R,4,F,F3,F30
273270017,R,3,C,C6,C60
860135567,R,3,D,D2,D20
850227776,R,7,S,S4,S43
860539979,R,7,S,S3,S30
470874376,R,7,T,T3,T31
421533919,R,2,B,B2,B29
860822647,R,7,W,W7,W70
860103282,R,5,P,P4,P47
860607401,R,5,N,N3,N30
860256421,R,1,A,A6,A6B
861040394,S,7,T,T0,T01
860589516,R,5,I,I7,I72
860990455,R,2,B,B9,B90
452529027,R,2,B,B2,B29
952627645,R,5,P,P8,P84
860251255,R,4,F,F3,F32
860789956,R,7,S,S8,S81
451564583,R,4,F,F3,F32
860207519,R,4,E,E3,E30
743033931,S,2,B,B0,B01
942909388,R,7,W,W7,W70
942856701,R,5,P,P7,P74
860255586,S,2,B,B2,B20
860137109,R,5,P,P8,P82
900364347,R,2,B,B2,B29
860338886,R,5,P,P7,P74
860127380,R,5,P,P7,P70
860138459,R,2,B,B8,B82
860252067,R,4,F,F9,F99
860217033,R,5,J,J3,J30
200209951,R,2,B,B2,B25
861044809,R,8,X,X2,X20
860439030,R,2,B,B2,B20
860660875,R,5,L,L8,L80
455443715,R,2,B,B6,B60
464574172,R,5,K,K4,K40
860198599,R,7,T,T7,T70
363297751,S,1,A,A7,A70
860192846,R,5,P,P7,P75
510169319,R,6,Q,Q2,Q20
860193883,R,5,P,P2,P20
860563315,R,1,A,A6,A65
942937165,R,4,G,G4,G48
201852393,R,5,P,P7,P74
860209257,R,4,G,G2,G20
861009220,S,2,B,B0,B01
953497070,R,2,B,B2,B28
860667217,R,4,F,F5,F50
861007325,S,5,P,P0,P11
860404687,R,5,P,P7,P75
860757227,R,5,L,L2,L22
860777567,S,2,B,B0,B19
860761030,R,7,S,S2,S20
742465161,R,5,L,L2,L20
860550646,R,5,O,O2,O23
721524205,R,2,B,B2,B29
860868376,R,5,L,L8,L80
275138404,R,4,E,E3,E30
860373283,R,7,W,W7,W70
860120506,R,5,P,P2,P20
270277109,S,2,B,B0,B12
942465081,R,5,P,P4,P43
202742885,R,5,N,N6,N63
860477969,R,1,A,A6,A61
742465160,R,5,L,L2,L21
860107639,R,5,O,O2,O23
260446321,R,4,F,F3,F32
860133718,R,5,O,O2,O21
860505273,R,5,K,K3,K31
521234482,R,5,N,N6,N63
860500753,R,5,L,L4,L41
860409636,R,4,E,E8,E86
204931127,R,2,B,B2,B24
860785760,R,2,B,B2,B20
860739613,R,1,A,A9,A90
743033931,S,2,B,B0,B01
860197576,R,1,A,A4,A40
866053047,R,5,M,M2,M24
860374813,R,7,S,S9,S99
860712873,R,5,L,L2,L21
208381131,R,12,E,E2,E22
860184349,R,5,O,O5,O53
860412509,R,5,J,J2,J22
454269957,R,2,B,B2,B29
860174371,S,4,G,G9,G90
860670912,R,7,R,R2,R26
860187686,R,5,K,K2,K26
237353532,R,5,K,K3,K31
860690847,R,8,X,X2,X20
270142713,R,4,F,F5,F52
866051093,R,5,N,N4,N40
237373816,R,7,T,T7,T70
870694641,S,3,D,D0,D12
860107538,R,1,A,A6,A69
860904022,R,5,J,J2,J20
860622181,R,4,H,H9,H92
860101237,R,5,P,P2,P27
860958969,R,8,X,X2,X22
860098924,S,5,P,P7,P75
860098932,R,7,T,T7,T70
860644388,R,5,P,P8,P85
866006371,R,1,A,A5,A51
237102832,S,2,B,B8,B82
860251768,R,5,P,P8,P81
860931108,R,11,B,B4,B41
311660702,R,7,S,S8,S81
860363717,R,4,F,F3,F32
860107976,R,5,P,P8,P80
860285857,R,4,E,E3,E32
860718936,R,7,T,T3,T31
131665552,R,4,G,G5,G50
860667510,R,4,E,E3,E32
860188050,R,5,O,O3,O31
866031135,R,1,A,A5,A57
860292099,S,5,N,N6,N61
860311899,R,4,F,F3,F30
860277999,R,4,F,F2,F21
770418201,R,4,F,F2,F20
860438592,R,5,N,N3,N32
860326724,R,5,P,P2,P27
860204557,R,2,B,B2,B21
866050388,S,2,B,B4,B40
860842503,S,5,N,N3,N32
866053462,R,4,E,E3,E32
860183578,R,5,P,P2,P28
860871311,R,4,E,E3,E32
860107049,R,5,N,N3,N32
860669087,R,4,F,F2,F21
455322674,S,2,B,B0,B11
942598560,R,5,P,P4,P40
850254535,R,5,P,P7,P73
860199202,R,5,O,O5,O53
263208123,R,5,I,I7,I72
203617544,S,7,T,T0,T11
860837146,R,7,S,S3,S31
942725100,R,5,L,L2,L20
860778917,R,3,C,C9,C99
860762311,R,1,A,A8,A80
237086112,R,4,F,F2,F20
860420538,R,5,J,J3,J30
237305278,R,5,P,P7,P73
953526934,R,4,E,E8,E86
860684610,S,3,C,C3,C30
942764158,S,1,A,A5,A50
273943866,R,3,D,D2,D20
562390650,R,7,V,V3,V30
860292421,R,2,B,B2,B20
860912044,R,5,I,I7,I71
452529268,R,2,B,B2,B29
452529766,R,2,B,B2,B29
866040853,S,2,B,B4,B41
262121550,R,5,I,I2,I20
860524321,R,4,E,E3,E32
860294012,R,11,B,B4,B43
860207499,R,2,B,B9,B99
954896822,R,4,E,E9,E91
710456321,R,5,P,P8,P82
710521323,R,5,P,P7,P74
710713904,R,5,O,O2,O23
710713904,R,5,O,O2,O23
710567280,R,2,B,B2,B20
710559432,R,2,B,B2,B20
621684203,R,12,E,E2,E21
710601687,S,4,E,E0,E11
710715152,R,5,L,L2,L20
203303805,R,5,N,N6,N6A
204046238,R,3,C,C3,C32
710787860,R,12,E,E2,E22
710797499,R,12,E,E2,E22
383807713,R,12,E,E2,E20
581674673,R,7,T,T9,T90
710577007,S,5,P,P2,P20
710386511,R,5,P,P3,P30
710412085,R,5,P,P2,P20
710508299,R,5,P,P8,P81
710534265,R,5,P,P3,P30
710774925,R,4,F,F3,F32
710670721,R,5,P,P7,P73
352414105,R,12,E,E2,E20
710521904,R,5,P,P8,P82
710236925,R,5,P,P2,P27
721562468,S,4,E,E0,E11
710230218,R,12,E,E2,E22
263215294,R,5,L,L2,L22
710417425,R,5,P,P8,P82
710521442,R,5,P,P8,P81
710385980,R,5,P,P2,P20
710246213,R,11,B,B4,B42
710471266,R,5,L,L2,L22
710410601,R,12,E,E2,E22
710433902,R,4,E,E3,E30
710720378,R,5,L,L2,L22
710236867,R,11,B,B4,B42
710403278,R,12,E,E2,E22
412086323,R,12,E,E2,E20
710526149,R,4,F,F3,F32
710386409,R,7,S,S3,S30
710766343,R,4,E,E3,E32
710766341,R,12,E,E2,E22
237416304,R,5,L,L2,L21
237198398,R,4,F,F3,F30
710562360,S,3,D,D0,D19
710603560,R,6,Q,Q3,Q31
300034070,R,7,S,S8,S81
710653846,R,5,P,P8,P85
710236857,R,12,E,E2,E24
710391707,R,1,A,A5,A50
710610075,R,4,E,E3,E32
710574819,R,5,K,K3,K31
911940376,S,4,E,E2,E20
261787446,R,2,B,B2,B29
710265209,R,5,N,N2,N20
710536689,R,7,R,R2,R23
710525252,R,4,E,E8,E86
710239729,R,11,B,B4,B42
710656542,R,4,E,E6,E65
710295200,R,5,P,P8,P82
710236903,R,5,J,J3,J32
203269994,S,2,B,B0,B01
710304327,R,4,G,G2,G20
200575859,S,7,T,T0,T11
710666671,R,5,N,N7,N72
710709327,R,5,K,K3,K30
731674355,R,7,T,T5,T50
710236856,R,12,E,E2,E22
710837041,S,1,A,A5,A50
237173855,R,1,A,A5,A50
300254995,S,5,K,K0,K01
710233257,R,4,G,G4,G41
716058254,R,5,O,O5,O53
710394768,R,7,W,W6,W60
710123680,R,4,E,E5,E50
710429513,R,5,P,P8,P80
710237511,R,5,P,P4,P46
710521402,R,5,P,P8,P81
710763418,R,4,F,F3,F30
710602465,R,7,S,S2,S20
710437657,R,4,G,G3,G30
710309373,R,5,O,O4,O42
710680117,R,4,F,F3,F33
710772958,S,4,E,E2,E20
710772959,R,12,E,E2,E22
237015826,R,4,F,F3,F32
710539738,R,5,P,P8,P82
710523556,R,5,P,P8,P81
331173248,R,1,A,A5,A50
710776630,R,2,B,B2,B20
710470300,R,5,P,P8,P80
710416869,R,4,F,F6,F60
311690041,R,5,P,P7,P74
710680830,R,5,K,K3,K31
710764422,R,5,P,P8,P80
710566307,S,4,F,F0,F11
710390902,R,7,S,S2,S20
460807914,R,7,S,S2,S20
710540644,S,2,B,B0,B11
710387126,R,5,P,P3,P30
237258102,R,6,Q,Q3,Q30
716044543,R,12,E,E2,E22
582565917,R,7,U,U4,U41
900181944,R,7,R,R6,R61
810618523,R,5,M,M4,M40
942442586,R,5,P,P2,P20
237181456,R,5,I,I8,I80
942339050,R,7,S,S2,S20
943123446,R,5,P,P7,P75
943237854,R,5,L,L5,L50
237181456,R,5,I,I8,I80
943248671,R,7,S,S2,S20
463103327,R,7,T,T3,T30
943161994,R,5,P,P8,P80
941167403,R,6,Q,Q2,Q20
943116456,R,4,E,E3,E32
680463892,R,2,B,B2,B29
273261154,R,2,B,B9,B90
942967981,R,5,N,N6,N60
742935751,R,6,Q,Q3,Q30
941186175,R,5,J,J3,J32
943232405,R,5,L,L8,L80
942365021,R,4,F,F2,F22
941735133,R,5,L,L9,L99
770373186,R,7,R,R2,R24
943081554,R,1,A,A6,A69
943410511,R,4,E,E3,E31
942598873,R,5,P,P8,P80
943226801,R,1,A,A5,A54
942830046,R,5,J,J2,J22
680406388,R,4,H,H8,H81
562324355,R,4,E,E3,E30
382231279,R,6,Q,Q3,Q30
141972505,R,1,A,A6,A65
943024996,R,7,U,U4,U41
263757824,S,5,O,O0,O01
943161753,R,5,L,L2,L20
203225569,R,5,P,P8,P80
941358307,R,11,B,B4,B43
943268357,R,1,A,A3,A33
470898054,R,7,S,S2,S20
942195766,R,5,P,P3,P33
943227655,S,2,B,B2,B20
943403801,R,8,X,X2,X20
942382546,R,11,B,B5,B50
461573954,R,3,C,C5,C50
680463892,R,2,B,B2,B29
943140704,S,2,B,B4,B40
943136771,R,7,T,T3,T30
941631316,R,5,I,I8,I80
942797856,R,2,B,B2,B24
942940176,R,5,P,P7,P75
453543427,R,3,C,C3,C35
943377985,R,12,E,E2,E21
942311291,R,1,A,A3,A30
946082215,R,7,U,U3,U36
131624111,S,5,I,I2,I20
912145422,S,7,T,T0,T12
941007751,R,2,B,B8,B84
943158295,S,3,C,C3,C30
941581707,R,11,B,B5,B50
943257432,R,5,L,L2,L20
942581686,R,5,P,P3,P33
943309906,R,4,G,G3,G32
205010766,S,2,B,B0,B11
943181963,R,5,L,L2,L20
941551410,R,5,O,O4,O42
271570315,S,2,B,B0,B12
942677202,R,8,X,X9,X99
941464735,R,2,B,B2,B24
942337299,R,5,P,P8,P82
946090626,S,2,B,B4,B40
942398760,R,7,S,S4,S43
651261006,R,7,V,V3,V30
943164295,R,8,X,X2,X21
943050434,R,6,Q,Q5,Q50
943176726,R,5,N,N3,N31
237181846,R,4,F,F3,F30
205010766,S,2,B,B0,B11
942902803,R,5,L,L4,L41
942705685,R,1,A,A3,A33
237118361,R,4,E,E3,E32
237090658,S,4,E,E9,E90
942217359,R,5,P,P7,P71
943393719,R,4,F,F4,F40
680369734,R,5,J,J2,J20
204602384,R,2,B,B2,B20
943313222,S,7,W,W0,W02
943044453,R,5,O,O4,O40
710867031,R,4,F,F3,F32
941524922,S,2,B,B8,B80
941581103,R,5,O,O2,O22
237091547,R,2,B,B8,B82
943363920,R,5,J,J2,J20
943046738,R,2,B,B9,B90
680027333,R,5,P,P7,P74
237312930,R,5,P,P8,P82
680290819,R,8,X,X2,X20
270862011,R,2,B,B2,B29
941746468,R,5,P,P8,P82
311750849,R,12,E,E2,E22
942927892,R,5,P,P2,P20
942209679,R,4,F,F3,F30
941448577,R,7,S,S2,S20
946132571,R,5,P,P7,P73
946104179,R,1,A,A5,A56
911797391,R,5,L,L4,L41
941461843,R,12,E,E2,E22
680369934,R,5,P,P3,P31
680268860,R,2,B,B2,B28
946050466,R,5,P,P3,P30
942791683,R,5,L,L2,L20
941747227,R,4,F,F4,F40
743094933,R,2,B,B2,B24
943399888,R,2,B,B2,B20
941437727,R,5,P,P7,P73
942853998,S,2,B,B0,B11
942524794,R,4,G,G8,G80
942883469,R,4,F,F3,F30
942681735,S,5,N,N3,N32
943120231,R,4,E,E5,E50
680237191,R,7,V,V3,V36
942520840,R,4,E,E7,E70
943386810,R,4,F,F2,F21
911788973,S,4,E,E7,E70
942587545,R,5,P,P3,P33
680299245,R,5,I,I2,I21
203036819,R,2,B,B2,B29
770228831,R,7,S,S4,S40
941668376,R,5,O,O3,O31
946343690,R,4,F,F4,F42
941021164,R,11,B,B4,B43
208738578,R,7,W,W7,W70
770196692,R,3,C,C3,C32
770524770,S,7,R,R6,R62
272515130,S,2,B,B0,B11
770162617,R,1,A,A3,A32
942297746,R,1,A,A3,A34
770354051,R,2,B,B2,B24
770478025,R,7,T,T3,T30
770430680,R,7,S,S2,S20
942219412,R,5,I,I7,I72
941021164,R,11,B,B4,B43
941309738,R,1,A,A6,A69
941631809,R,5,I,I8,I80
942494904,R,4,F,F2,F22
461925070,R,2,B,B2,B29
770071360,S,5,P,P7,P74
942415182,R,2,B,B2,B20
942188609,R,5,J,J2,J20
770263702,R,5,P,P4,P40
770370104,R,4,E,E8,E86
770635938,R,7,S,S2,S20
956100518,S,4,E,E2,E21
770007985,R,5,L,L4,L41
272515130,S,2,B,B0,B11
205073440,R,2,B,B2,B29
942337367,R,4,E,E3,E30
946135983,R,5,L,L4,L41
237088205,R,4,E,E3,E32
942779313,R,2,B,B8,B82
942499333,R,5,P,P7,P74
943294843,S,3,C,C3,C30
942297737,R,5,P,P3,P30
237310660,R,7,T,T3,T31
770039382,R,5,P,P4,P43
770039382,R,5,P,P4,P43
770272697,S,1,A,A5,A54
770375841,R,2,B,B8,B80
770168396,R,4,F,F2,F22
953218000,R,4,E,E3,E32
954638631,R,2,B,B2,B28
462637218,S,7,S,S2,S22
770555874,R,7,T,T2,T20
770121197,R,2,B,B2,B25
770125694,R,1,A,A5,A51
951643391,R,5,P,P3,P30
770578450,S,4,E,E0,E11
942678796,R,5,P,P7,P74
680353914,R,2,B,B7,B70
954092861,R,4,F,F3,F30
830340684,R,11,B,B4,B42
954264361,R,1,A,A8,A82
951690988,R,5,P,P8,P82
271904346,R,5,I,I4,I40
954784963,R,5,P,P2,P24
951706987,R,5,P,P7,P75
953151449,S,2,B,B0,B03
951691306,R,5,P,P4,P45
510204566,R,5,P,P4,P46
952789388,R,11,B,B4,B43
951641967,R,5,P,P2,P27
954200761,R,5,L,L2,L21
951690977,R,12,E,E2,E24
954715996,R,5,J,J4,J40
954178455,R,5,N,N2,N20
954783487,S,4,E,E9,E92
954106270,R,5,P,P2,P24
954786748,S,2,B,B4,B40
951641455,R,11,B,B4,B43
954712513,R,7,S,S3,S30
956100079,S,4,E,E0,E11
341468732,R,5,L,L2,L22
954669404,R,7,T,T3,T31
953083776,R,4,F,F3,F32
951725190,R,5,N,N5,N52
911764152,R,5,N,N3,N32
954769401,R,2,B,B2,B29
460825676,R,4,G,G3,G30
954242175,R,2,B,B6,B60
954198215,S,5,L,L5,L50
952690540,R,5,I,I8,I80
237108393,R,7,V,V3,V35
951691331,R,7,T,T4,T40
953985518,S,2,B,B0,B19
951644026,R,11,B,B4,B43
954244947,R,5,L,L2,L20
951641441,R,5,J,J3,J32
954648166,R,5,L,L2,L20
951691293,R,5,P,P8,P85
950549600,R,11,B,B4,B43
954605506,R,5,P,P2,P24
954214221,R,1,A,A8,A80
951870626,R,4,F,F2,F22
953139419,R,7,S,S4,S43
330553626,R,5,P,P2,P24
953180934,R,5,P,P3,P30
300545760,R,4,G,G8,G81
208892311,R,7,S,S2,S21
954238596,R,5,L,L5,L50
953435919,S,4,E,E2,E20
455191270,R,1,A,A5,A57
954666712,S,2,B,B0,B03
954692703,R,8,X,X3,X30
264365882,R,5,I,I2,I21
330960142,R,2,B,B2,B20
721567349,R,2,B,B2,B25
510563566,R,2,B,B9,B99
954115863,R,5,K,K3,K36
954117138,R,5,L,L2,L20
942998086,S,3,C,C6,C60
202914212,R,4,G,G3,G30
237209115,R,5,J,J2,J22
951652916,R,12,E,E2,E20
237442244,R,1,A,A5,A51
951690990,R,5,P,P4,P40
956003956,R,12,E,E2,E21
261906629,R,7,T,T5,T50
274159194,S,4,E,E0,E19
952564024,R,4,E,E4,E42
952513421,R,4,F,F2,F20
954021359,R,5,L,L2,L20
954066979,R,5,P,P8,P81
952671260,R,5,J,J3,J30
954042883,R,5,P,P4,P40
954779029,S,2,B,B0,B01
208568061,R,6,Q,Q2,Q21
951664100,R,11,B,B4,B43
954661312,R,1,A,A6,A65
951683861,R,5,P,P7,P75
954079490,R,5,P,P4,P40
956001948,R,1,A,A2,A25
330449483,R,5,L,L9,L99
330527301,R,5,L,L4,L41
954079133,R,4,F,F2,F22
953861159,R,5,P,P8,P82
330342348,R,5,P,P2,P24
943355916,R,5,P,P2,P24
952838006,R,4,F,F2,F20
203436786,R,1,A,A6,A68
237109631,R,1,A,A2,A25
330627711,R,5,P,P2,P24
951641451,R,4,G,G4,G45
951664101,R,11,B,B4,B42
951644589,R,1,A,A5,A51
330553621,R,5,L,L2,L21
951643307,R,11,B,B4,B43
953502910,R,1,A,A7,A70
953510862,R,2,B,B2,B21
262458769,S,5,O,O0,O12
953080947,R,5,I,I8,I80
951656369,R,5,P,P8,P86
954605502,R,5,P,P2,P24
237208851,R,5,P,P8,P82
860581455,R,5,L,L2,L20
954076361,R,5,P,P8,P82
542170689,R,1,A,A2,A25
950615438,R,2,B,B2,B20
911945542,R,5,P,P2,P24
203596433,R,5,P,P8,P80
952572622,R,5,O,O2,O23
953947744,R,1,A,A5,A54
951727673,R,7,W,W9,W99
320163675,R,7,U,U3,U34
237314808,R,4,E,E7,E70
237228780,R,4,F,F3,F33
943015376,R,4,F,F3,F33
134198479,R,1,A,A2,A23
331062468,R,1,A,A2,A23
450497577,R,5,P,P2,P20
953823550,R,4,E,E3,E30
953301874,R,5,L,L2,L22
954612481,S,5,N,N2,N20
455233028,S,2,B,B0,B11
330677510,R,5,L,L2,L22
270869586,S,2,B,B0,B11
261809669,R,7,T,T2,T20
956054617,R,5,L,L4,L41
952301600,R,7,T,T4,T40
262213868,R,4,E,E7,E70
271487442,R,2,B,B9,B99
383687836,R,3,C,C3,C34
954847950,R,7,S,S2,S20
951647810,R,4,F,F3,F33
222843138,R,2,B,B8,B82
952960607,R,7,R,R2,R23
460573247,S,2,B,B0,B11
952917933,R,5,P,P8,P84
510172702,R,1,A,A6,A68
953993742,R,7,S,S9,S99
953567895,R,5,P,P8,P88
953956297,R,4,E,E9,E99
953013310,R,5,P,P8,P80
251902847,R,5,P,P2,P24
951936049,S,5,J,J2,J22
453457853,R,4,G,G4,G41
953081997,R,5,P,P8,P81
330553622,R,5,L,L2,L21
951727673,R,7,W,W9,W99
952785554,S,4,E,E7,E70
954486925,R,7,S,S2,S20
237304205,R,8,X,X3,X30
452979393,S,5,P,P0,P19
912076672,S,5,J,J0,J01
470957404,R,7,S,S2,S20
943331343,R,5,P,P2,P24
272633827,R,5,P,P2,P20
953777340,R,4,E,E3,E31
943389547,R,5,N,N3,N30
951641433,R,7,S,S8,S81
330612653,R,5,P,P2,P24
134313101,S,4,F,F2,F20
452163910,S,2,B,B0,B11
202207418,S,2,B,B0,B01
952800022,R,4,E,E4,E40
953498211,S,2,B,B0,B11
330457199,R,5,L,L2,L22
951644002,R,4,F,F3,F33
954323238,R,7,T,T9,T90
341554124,R,5,L,L2,L22
951816005,R,12,E,E2,E22
742227972,S,8,X,X2,X20
951816017,R,12,E,E2,E22
330448066,R,5,L,L2,L22
954648166,R,5,L,L2,L20
270385918,R,7,S,S3,S30
270285630,R,5,M,M2,M20
202438382,R,5,O,O5,O50
953297459,S,2,B,B0,B11
237296933,R,5,P,P7,P75
953958741,R,5,P,P8,P85
953038398,R,1,A,A2,A26
930999148,R,11,B,B5,B50
954564190,R,5,P,P3,P33
461842838,R,2,B,B2,B29
951916053,R,4,G,G2,G20
330061885,R,5,P,P3,P33
223902958,R,2,B,B2,B21
260014926,R,5,P,P2,P24
954862553,R,7,W,W7,W70
953822105,R,4,F,F9,F99
800587086,R,7,T,T3,T30
953938009,S,2,B,B2,B25
952280871,R,5,P,P2,P28
953855705,R,5,P,P4,P43
953665186,R,5,P,P3,P32
453773041,R,5,L,L9,L99
952741506,R,5,L,L4,L41
237024900,R,1,A,A7,A70
953771980,S,4,E,E2,E20
203541982,R,6,Q,Q3,Q30
953874381,R,5,P,P2,P20
330402547,R,5,L,L2,L22
260404220,R,2,B,B9,B90
237351622,R,4,E,E3,E32
942497039,R,5,P,P3,P30
953510046,R,5,P,P3,P30
132981115,R,11,B,B4,B43
953411383,R,4,F,F9,F99
954394305,R,5,P,P3,P30
205101447,R,1,A,A4,A40
952879339,R,7,S,S9,S99
954407569,R,7,S,S9,S99
412077818,R,1,A,A5,A51
330034221,S,2,B,B0,B11
952861434,R,7,W,W3,W30
954419365,R,5,O,O2,O23
237162017,S,4,E,E7,E70
132941675,R,6,Q,Q2,Q21
952250007,R,1,A,A6,A68
951643334,R,11,B,B4,B43
951904355,R,11,B,B5,B50
460653428,R,2,B,B2,B29
237036745,S,4,E,E7,E70
954491123,R,7,S,S4,S43
510143029,R,2,B,B2,B28
330608166,R,5,P,P8,P84
330099231,R,5,P,P7,P70
951930378,R,4,G,G4,G41
