EIN,FormYr,FormType,Name,State,MajorGroup,NTEE,NTEE.CC,UNIV,HOSP,TotalExpense,TotalEmployee,GrossReceipts,TotalAssests,CEOCompensation,Gender,TransitionYr,TRANS.D,ZIP5,RUCA,LocationType,FIPS
630288811,2018,990,BIRMINGHAM-SOUTHERN COLLEGE,AL,2,B,B42,TRUE,FALSE,54546677,865,58368744,159285516,49347.6,M,FALSE,TRUE,35254,1.0429447852760736,Metropolitan,01073
630887875,2019,990,MAGIC MOMENTS INC,AL,4,E,E86,FALSE,FALSE,868164,7,1519095,799199,112219.18,F,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
630975262,2016,990,HOUSING AGENCY FOR RETARDED,AL,5,P,P73,FALSE,FALSE,262764,0,800236,6289376,263674.54,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
630459034,2018,990,THE EYE FOUNDATION INC,AL,4,E,E24,FALSE,TRUE,0,0,26744,104910,469247.06,M,FALSE,TRUE,35233,1.0429447852760736,Metropolitan,01073
636050895,2018,990,ALABAMA EDUCATION TELEVISION FOUNDATION,AL,1,A,A1132,FALSE,FALSE,4599969,60,5030288,8499877,251423.78,M,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
630288810,2018,990,THE GREATER BIRMINGHAM HUMANE,AL,3,D,D20,FALSE,FALSE,4656397,103,5609357,14854870,153429.5,F,FALSE,TRUE,35209,1.0429447852760736,Metropolitan,01073
630917530,2019,990,INNOVATION DEPOT INC,AL,7,S,S43,FALSE,FALSE,3112895,8,3144705,15861384,36037.2,M,FALSE,TRUE,35203,1.0429447852760736,Metropolitan,01073
630288811,2018,990,BIRMINGHAM-SOUTHERN COLLEGE,AL,2,B,B42,TRUE,FALSE,54546677,865,58368744,159285516,247640.69999999998,F,FALSE,TRUE,35254,1.0429447852760736,Metropolitan,01073
630952490,2017,990,AMERICAN SPORTS MEDICINE INSTITUTE,AL,4,G,G90,FALSE,FALSE,2661646,17,3302072,38661,302826.94,U,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
201560119,2018,990,CHARITABLE REAL ESTATE FOUNDATION,AL,7,S,S12,FALSE,FALSE,7419,0,6710,517889,50087.46,F,FALSE,TRUE,35203,1.0429447852760736,Metropolitan,01073
630809785,2019,990,ALABAMA GOLF ASSOCIATION INC,AL,5,N,N6A,FALSE,FALSE,968828,9,1285267,1429124,149146.1,M,FALSE,TRUE,35216,1.0429447852760736,Metropolitan,01073
630649108,2018,990,UNIVERSITY OF ALABAMA HEALTH SERVICES,AL,4,E,E31,FALSE,FALSE,731100260,3992,788829408,887835290,1301528.2,M,FALSE,TRUE,35233,1.0429447852760736,Metropolitan,01073
311639601,2017,990,M-POWER MINISTRIES,AL,5,P,P20,FALSE,FALSE,686365,19,736073,384192,117674.31999999999,M,FALSE,TRUE,35222,1.0429447852760736,Metropolitan,01073
630893496,2018,990,ALABAMA HEAD INJURY FOUNDATION INC,AL,4,G,G48,FALSE,FALSE,975877,13,1046251,472074,141529.19999999998,M,FALSE,TRUE,35216,1.0429447852760736,Metropolitan,01073
630955721,2016,990,COMMUNITY OPTIONS INC,AL,5,P,P80,FALSE,FALSE,136586,0,97615,595497,263674.54,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
630514348,2018,990,A G GASTON BOYS & GIRLS CLUB INC,AL,5,O,O23,FALSE,FALSE,2532438,99,3334139,13180733,133407.25999999998,M,FALSE,TRUE,35211,1.0429447852760736,Metropolitan,01073
630288868,2015,990,SOUTHERN RESEARCH INSTITUTE,AL,7,U,U40,FALSE,FALSE,84126126,567,71323409,144792189,440679.25999999995,M,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
630375738,2018,990,THE ARC OF CENTRAL ALABAMA INC,AL,5,P,P82,FALSE,FALSE,26525568,872,26547506,15209000,315261.77999999997,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
630754793,2019,990,UAB MEDICAL WEST CONTINGENT LIABILITY,AL,4,E,E1920,FALSE,FALSE,0,0,2585,576527,917359.1399999999,M,FALSE,TRUE,35022,1.0429447852760736,Metropolitan,01073
630505899,2018,990,JEFFERSON COUNTY COMMITTEE FOR ECONOMIC,AL,5,P,P20,FALSE,FALSE,28236573,914,27433462,11193335,170605.58,U,FALSE,TRUE,35204,1.0429447852760736,Metropolitan,01073
630948472,2015,990,CORNERSTONE SCHOOLS OF ALABAMA INC,AL,5,P,P28,FALSE,FALSE,4467399,115,5003153,7727026,187706.13999999998,F,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
260508897,2018,990,TRIUMPH SERVICES INC,AL,5,P,P80,FALSE,FALSE,1257745,22,1311473,319114,89680,F,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
630753358,2019,990,RONALD MCDONALD HOUSE CHARITIES OF,AL,4,E,E86,FALSE,FALSE,2939822,32,6364745,19736879,156499.86,F,FALSE,TRUE,35233,1.0429447852760736,Metropolitan,01073
631253854,2019,990,TRINITY COUNSELING INC,AL,4,F,F60,FALSE,FALSE,744775,6,781585,391187,179309.25999999998,M,FALSE,TRUE,35216,1.0429447852760736,Metropolitan,01073
631070727,2016,990,FOUNDATION OF THE ARC,AL,5,L,L99,FALSE,FALSE,734349,0,684479,4278560,263674.54,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
630288854,2018,990,GATEWAY,AL,5,P,P20,FALSE,FALSE,8304071,184,8403443,35067699,278706.56,F,FALSE,TRUE,35205,1.0429447852760736,Metropolitan,01073
260872042,2019,990,CHANGED LIVES CHRISTIAN CENTER INC,AL,8,X,X20,FALSE,FALSE,501338,8,523627,2028100,111956.04,M,FALSE,TRUE,35204,1.0429447852760736,Metropolitan,01073
630726127,2019,990,PRESBYTERIAN RETIREMENT HOMES OF,AL,5,L,L22,FALSE,FALSE,10746008,253,11693212,11008017,193744.19999999998,M,FALSE,TRUE,35210,1.0429447852760736,Metropolitan,01073
630288848,2017,990,LEVITE JEWISH COMMUNITY CENTER,AL,5,P,P84,FALSE,FALSE,7432474,322,7179886,2442686,148209.18,U,FALSE,TRUE,35213,1.0429447852760736,Metropolitan,01073
630340866,2018,990,JUNIOR ACHIEVEMENT OF ALABAMA INC,AL,5,O,O53,FALSE,FALSE,889676,11,1197645,435792,189948.13999999998,M,FALSE,TRUE,35209,1.0429447852760736,Metropolitan,01073
631053191,2018,990,CRAMER CHILDRENS CENTER INC,AL,5,P,P70,FALSE,FALSE,764724,12,801246,338638,74492.22,F,FALSE,TRUE,35631,1.5,Metropolitan,01077
630830280,2018,990,HOSPICE OF THE SHOALS INC,AL,5,P,P74,FALSE,FALSE,537605,0,427786,174560,46260.72,F,FALSE,TRUE,35630,1.5,Metropolitan,01077
630439459,2018,990,AUBURN ALUMNI ASSOCIATION,AL,2,B,B84,FALSE,FALSE,3289772,77,3507532,15939724,262996.04,F,FALSE,TRUE,36849,1.1481481481481481,Metropolitan,01081
630288852,2012,990,CHATTAHOOCHEE VALLEY HOSPITAL,AL,4,E,E20,FALSE,TRUE,43065188,717,40548572,33655439,379449.06,M,FALSE,TRUE,36801,1.1481481481481481,Metropolitan,01081
636054092,2018,990,MACON-RUSSELL COMMUNITY ACTION AGENCY INC,AL,7,S,S21,FALSE,FALSE,1509024,12,1543622,265938,72536.95999999999,F,FALSE,TRUE,36083,5.083333333333333,Metropolitan,01087
630644957,2018,990,MUSEUM BOARD OF THE CITY OF HUNTSVILLE,AL,1,A,A51,FALSE,FALSE,2649934,82,2675123,492024,219822.19999999998,M,FALSE,TRUE,35801,1.095890410958904,Metropolitan,01089
630820386,2017,990,HOSPICE FAMILY CARE INC,AL,5,P,P74,FALSE,FALSE,372218,48,304560,0,9667.74,F,FALSE,TRUE,35805,1.095890410958904,Metropolitan,01089
630356666,2018,990,MADISON ACADEMY INC,AL,2,B,B20,FALSE,FALSE,8382138,173,8442188,15080197,157627.94,M,FALSE,TRUE,35758,1.095890410958904,Metropolitan,01089
237352886,2018,990,THE VALLEY FOUNDATION,AL,2,B,B1140,FALSE,FALSE,9135028,39,9713196,13299781,763126.0599999999,M,FALSE,TRUE,35801,1.095890410958904,Metropolitan,01089
630720189,2018,990,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,2,B,B8443,FALSE,FALSE,96261,0,469,0,111049.79999999999,F,FALSE,TRUE,35899,1.095890410958904,Metropolitan,01089
582058795,2019,990,YOUNG MEN'S CHRISTIAN ASSOCIATION,AL,5,P,P27,FALSE,FALSE,10445767,871,10389489,21255320,220821.65999999997,M,FALSE,TRUE,35801,1.095890410958904,Metropolitan,01089
270085899,2016,990,ABILITY PLUS INC,AL,5,P,P73,FALSE,FALSE,14138307,915,15509716,7194696,151106.08,U,FALSE,TRUE,35824,1.095890410958904,Metropolitan,01089
630501382,2018,990,SOUTH ALABAMA REGIONAL PLANNING,AL,7,S,S20,FALSE,FALSE,17832499,663,18595796,8083035,166362.3,M,FALSE,TRUE,36633,2.026086956521739,Metropolitan,01097
630421430,2018,990,GIRL SCOUTS OF SOUTHERN ALABAMA,AL,5,O,O42,FALSE,FALSE,2314640,67,3696706,5757283,116808.2,F,FALSE,TRUE,36608,2.026086956521739,Metropolitan,01097
630695166,2018,990,THE COMMUNITY FOUNDATION OF SOUTH,AL,7,T,T31,FALSE,FALSE,5190327,7,8345878,80061394,181376.62,F,FALSE,TRUE,36601,2.026086956521739,Metropolitan,01097
630917400,2018,990,CHILD ADVOCACY CENTER INC,AL,5,I,I72,FALSE,FALSE,765535,6,855539,3714129,104511.42,M,FALSE,TRUE,36604,2.026086956521739,Metropolitan,01097
630518148,2019,990,MOBILE COMMUNITY ACTION INC,AL,5,P,P60,FALSE,FALSE,19396841,321,19442850,3951566,176925.66,U,FALSE,TRUE,36617,2.026086956521739,Metropolitan,01097
630753361,2019,990,MOBILE AREA CHAMBER OF COMMERCE,AL,7,S,S41,FALSE,FALSE,1512142,0,3504549,9452951,356642.01999999996,M,FALSE,TRUE,36652,2.026086956521739,Metropolitan,01097
630779657,2018,990,MARINE ENVIRONMENTAL SCIENCES CONSORTIUM,AL,7,U,U21,FALSE,FALSE,16057170,154,16842306,19542404,252570.74,M,FALSE,TRUE,36528,2.026086956521739,Metropolitan,01097
630937704,2015,990,SETON MEDICAL MANAGEMENT INC,AL,4,E,E21,FALSE,TRUE,11844725,172,11554678,17753824,2847521.7199999997,U,FALSE,TRUE,36608,2.026086956521739,Metropolitan,01097
262638504,2018,990,SOUTHWEST ALABAMA WORKFORCE,AL,5,J,J22,FALSE,FALSE,607761,6,564864,689020,149596.86,M,FALSE,TRUE,36615,2.026086956521739,Metropolitan,01097
300092712,2018,990,MONTGOMERY AREA COMMUNITY,AL,7,S,S21,FALSE,FALSE,1121707,14,1062279,497925,80168.01999999999,F,FALSE,TRUE,36108,1.1538461538461537,Metropolitan,01101
630842355,2019,990,CENTRAL ALABAMA COMMUNITY FOUNDATION,AL,7,T,T31,FALSE,FALSE,6285082,6,19613187,75517755,110357.14,M,FALSE,TRUE,36104,1.1538461538461537,Metropolitan,01101
630778800,2016,990,CHEMICAL ADDICTIONS PROGRAM INC,AL,7,U,U33,FALSE,FALSE,2425184,70,2188787,842493,100146.59999999999,M,FALSE,TRUE,36108,1.1538461538461537,Metropolitan,01101
630907890,2018,990,THE ALABAMA COALITION AGAINST,AL,5,P,P01,FALSE,FALSE,1698386,7,1679858,609373,100052.2,M,FALSE,TRUE,36106,1.1538461538461537,Metropolitan,01101
630656140,2018,990,COUNCIL ON SUBSTANCE ABUSE - NCADD,AL,4,F,F99,FALSE,FALSE,2084188,43,2121845,787114,89143.09999999999,U,FALSE,TRUE,36106,1.1538461538461537,Metropolitan,01101
636054097,2018,990,MONTGOMERY COMMUNITY ACTION COMMITTEE &,AL,5,P,P20,FALSE,FALSE,15066342,298,15169609,4172480,181655.09999999998,M,FALSE,TRUE,36104,1.1538461538461537,Metropolitan,01101
630302145,2019,990,UNITED METHODIST CHILDREN'S HOME,AL,5,P,P70,FALSE,FALSE,7229047,105,44923735,42004878,212358.69999999998,M,FALSE,TRUE,36106,1.1538461538461537,Metropolitan,01101
636001820,2019,990,JACKSON HOSPITAL AND CLINIC INC,AL,4,E,E22,FALSE,TRUE,271231216,2593,273954254,219375599,781163.5399999999,M,FALSE,TRUE,36106,1.1538461538461537,Metropolitan,01101
630568762,2019,990,HEALTH SERVICES INC,AL,4,E,E30,FALSE,FALSE,27892024,369,29301498,31740331,289324.2,M,FALSE,TRUE,36107,1.1538461538461537,Metropolitan,01101
630959628,2015,990,MONTGOMERY AIDS OUTREACH INC,AL,4,G,G81,FALSE,FALSE,12058568,69,13909558,4005153,95314.5,M,FALSE,TRUE,36111,1.1538461538461537,Metropolitan,01101
630329409,2019,990,FAULKNER UNIVERSITY,AL,2,B,B43,TRUE,FALSE,56444383,1021,57616396,90552154,354371.69999999995,M,FALSE,TRUE,36109,1.1538461538461537,Metropolitan,01101
630834450,2019,990,STELLA'S VOICE,AL,8,X,X20,FALSE,FALSE,380600,4,385787,335079,90417.5,M,FALSE,TRUE,36124,1.1538461538461537,Metropolitan,01101
630358762,2018,990,UNITED WAY OF MORGAN COUNTY,AL,7,T,T70,FALSE,FALSE,1719848,5,1500596,1967127,92769.23999999999,F,FALSE,TRUE,35602,1.4444444444444444,Metropolitan,01103
630514875,2019,990,THE COMMUNITY ACTION PARTNERSHIP OF,AL,7,T,T70,FALSE,FALSE,41278370,762,42653974,72349277,182659.28,M,FALSE,TRUE,35601,1.4444444444444444,Metropolitan,01103
630877006,2019,990,HOSPICE OF THE VALLEY INC,AL,5,P,P74,FALSE,FALSE,3982787,77,4174214,2237176,118901.51999999999,F,FALSE,TRUE,35601,1.4444444444444444,Metropolitan,01103
630844906,2019,990,FAMILY CONNECTION INC,AL,4,F,F33,FALSE,FALSE,1066607,22,1037446,1465348,91781.58,F,FALSE,TRUE,35007,1.3541666666666667,Metropolitan,01117
630307953,2018,990,PRESBYTERIAN HOME FOR CHILDREN,AL,8,X,X20,FALSE,FALSE,2819348,78,8387017,15004036,142973.52,M,FALSE,TRUE,35161,4.045454545454546,Metropolitan,01121
237271062,2018,990,ALABAMA TEEN CHALLENGE INC,AL,8,X,X99,FALSE,FALSE,2008598,60,2095122,1184275,50258.56,M,FALSE,TRUE,35096,4.045454545454546,Metropolitan,01121
630810661,2018,990,CAPSTONE HEALTH SERVICES FOUNDATION PC,AL,4,E,E1170,FALSE,FALSE,22587372,92,23764035,24171653,410903.13999999996,F,FALSE,TRUE,35401,1.1914893617021276,Metropolitan,01125
630803491,2017,990,THE UNIVERSITY FOUNDATION,AL,2,B,B11,FALSE,FALSE,347918,0,1029747,1527752,1188741.44,M,FALSE,TRUE,35401,1.1914893617021276,Metropolitan,01125
630949219,2018,990,HABITAT FOR HUMANITY TUSCALOOSA,AL,5,L,L20,FALSE,FALSE,1967988,18,1794896,3358274,104512.59999999999,F,FALSE,TRUE,35401,1.1914893617021276,Metropolitan,01125
630519483,2018,990,WEST ALABAMA REGIONAL COMMISSION,AL,7,S,S32,FALSE,FALSE,10809669,133,11033120,4855549,129199.37999999999,M,FALSE,TRUE,35476,1.1914893617021276,Metropolitan,01125
631276483,2018,990,CAPSTONE RURAL HEALTH CENTER,AL,4,E,E30,FALSE,FALSE,4287747,59,5912866,4883858,207073.47999999998,M,FALSE,TRUE,35580,2.5555555555555554,Metropolitan,01127
920071466,2018,990,STANDING TOGETHER AGAINST RAPE,AK,4,F,F42,FALSE,FALSE,1688208,36,1657323,2001620,120614.87999999999,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920042123,2018,990,ALASKA HUMANITIES FORUM,AK,1,A,A267,FALSE,FALSE,3115634,36,2796330,1488710,203385.97999999998,U,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
920073175,2016,990,FOOD BANK OF ALASKA INC,AK,5,K,K31,FALSE,FALSE,16895629,37,17069310,5294730,41539.54,M,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
926010379,2018,990,TRUSTEES FOR ALASKA,AK,3,C,C0130,FALSE,FALSE,1540118,17,1529530,516275,140320.88,F,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
920110889,2018,990,VICTIMS FOR JUSTICE,AK,5,P,P62,FALSE,FALSE,512336,5,544066,173554,92789.29999999999,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920038588,2018,990,ALASKA CHILDREN'S SERVICES INC,AK,4,F,F33,FALSE,FALSE,12049403,256,11537487,9961151,190581.8,F,FALSE,TRUE,99507,1.1272727272727272,Metropolitan,02020
237113202,2018,990,AMERICAN CIVIL LIBERTIES UNION,AK,7,R,R60,FALSE,FALSE,778025,11,1399036,971835,170996.16,M,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920149995,2018,990,STONE SOUP GROUP,AK,7,S,S50,FALSE,FALSE,1353833,25,1394237,479522,104241.2,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920145727,2018,990,ALASKA NATIVE JUSTICE CENTER,AK,5,P,P84,FALSE,FALSE,2257954,22,2258553,482358,739376.2,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920170234,2019,990,ALASKA SAFETY ALLIANCE,AK,2,B,B41,TRUE,FALSE,1181426,10,1259279,590205,159335.4,U,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920028571,2018,990,THE ARC OF ANCHORAGE,AK,5,P,P82,FALSE,FALSE,14163889,400,12385232,11824320,178630.75999999998,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
943131778,2018,990,FOUNDATION OF THE ARC OF ANCHORAGE,AK,5,P,P82,FALSE,FALSE,1187612,0,180361,6292744,178630.75999999998,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920077825,2018,990,ALASKA BUSINESS DEVELOPMENT CENTER,AK,7,S,S43,FALSE,FALSE,572495,16,585485,451735,113652.87999999999,F,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
920140434,2018,990,HABITAT FOR HUMANITY - ANCHORAGE,AK,5,L,L1920,FALSE,FALSE,1928854,16,2260075,5681665,108338.15999999999,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920133631,2018,990,REGIONAL CITIZENS ADVISORY COUNCIL,AK,3,C,C0220,FALSE,FALSE,3783770,19,3835198,1747111,248622.46,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
161616595,2018,990,ALASKA PUBLIC BROADCASTING,AK,1,A,A30,FALSE,FALSE,1399346,4,1454872,903001,154216.56,F,FALSE,TRUE,99520,1.1272727272727272,Metropolitan,02020
926002175,2018,990,BLOOD BANK OF ALASKA INC,AK,4,E,E61,FALSE,FALSE,13036362,123,11665484,44677209,388168.07999999996,M,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920150193,2016,990,ALASKA PACIFIC UNIVERSITY FOUNDATION,AK,2,B,B1140,FALSE,FALSE,1838058,0,8574201,14095331,309508.1,M,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920155014,2018,990,THE GREAT LAND TRUST INC,AK,3,C,C34,FALSE,FALSE,1192231,8,1991965,11694243,158271.03999999998,F,FALSE,TRUE,99510,1.1272727272727272,Metropolitan,02020
920174854,2019,990,FIRST ALASKANS INSTITUTE,AK,7,S,S20,FALSE,FALSE,2610562,36,2971933,1110515,181803.78,F,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
920033876,2018,990,RURAL ALASKA COMMUNITY ACTION PROGRAM,AK,7,S,S20,FALSE,FALSE,27137577,620,25369004,38108502,284841.38,M,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
270502649,2018,990,COOK INLET NATIVE HEAD START,AK,2,B,B21,FALSE,FALSE,3265451,65,4107458,1690946,164187.56,M,FALSE,TRUE,99507,1.1272727272727272,Metropolitan,02020
920073013,2018,990,ALEUTIAN PRIBILOF ISLANDS,AK,7,S,S20,FALSE,FALSE,18359682,188,23791426,32329117,572610.34,U,FALSE,TRUE,99518,1.1272727272727272,Metropolitan,02020
920056272,2018,990,ALASKA NATIVE HEALTH BOARD,AK,4,E,E0322,FALSE,FALSE,910078,6,868233,815643,240016.72,M,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920121621,2018,990,FAMILY OUTREACH CENTER FOR,AK,2,B,B28,FALSE,FALSE,4918823,171,4741109,3503641,130444.28,F,FALSE,TRUE,99577,1.1272727272727272,Metropolitan,02020
920047965,2018,990,ANCHORAGE NEIGHBORHOOD HEALTH CENTER,AK,4,E,E32,FALSE,FALSE,18159641,189,19766821,34561335,270574,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920164510,2018,990,FOR THE KIDS FOUNDATION INC,AK,7,T,T12,FALSE,FALSE,598252,22,2936511,371356,11421.22,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
770621661,2018,990,ALASKA BRAIN INJURY NETWORK INC,AK,4,G,G48,FALSE,FALSE,671736,3,683990,228042,84071.45999999999,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920061466,2019,990,ALASKA CONSERVATION FOUNDATION,AK,3,C,C30,FALSE,FALSE,2425763,13,7841012,13045403,145682.8,M,FALSE,TRUE,99501,1.1272727272727272,Metropolitan,02020
920046154,2018,990,AKEELA INC,AK,4,F,F20,FALSE,FALSE,9710331,195,10981227,10283431,137159.66,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
920129264,2018,990,GENESIS RECOVERY SERVICES INC,AK,4,F,F22,FALSE,FALSE,1019441,20,676860,576413,103972.15999999999,U,FALSE,TRUE,99517,1.1272727272727272,Metropolitan,02020
920177787,2018,990,THE FORAKER GROUP,AK,7,S,S50,FALSE,FALSE,6426646,23,6601829,4220056,352916.76,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
800064172,2018,990,BIG BROTHERS BIG SISTERS OF ALASKA,AK,5,O,O31,FALSE,FALSE,1309002,29,1453133,375521,134588.44,F,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
911786519,2018,990,ALASKA WORKS PARTNERSHIP INC,AK,7,S,S50,FALSE,FALSE,1991584,16,2214096,913089,209937.34,F,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
510152394,2019,990,ANCHORAGE COMMUNITY MENTAL HEALTH,AK,4,F,F32,FALSE,FALSE,19247167,222,20472335,15238434,348550.76,M,FALSE,TRUE,99508,1.1272727272727272,Metropolitan,02020
920127531,2017,990,ALASKA NATIVE HERITAGE CENTER INC,AK,1,A,A23,FALSE,FALSE,4333249,88,3716210,18404502,189970.56,F,FALSE,TRUE,99504,1.1272727272727272,Metropolitan,02020
920117008,2018,990,SPECIAL EDUCATION SERVICE AGENCY,AK,2,B,B28,FALSE,FALSE,3549339,25,3487701,2539917,222513.78,M,FALSE,TRUE,99503,1.1272727272727272,Metropolitan,02020
